Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
Shell Malaysia Scholarship,UG,19,Chinese,"RM57,739",Sciences,0,N/A,N/A,3.01,N/A,N/A,100,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Malay,"RM77,861",Sciences,10,N/A,N/A,3.19,N/A,N/A,57,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM64,377",Sciences,8,N/A,1,N/A,N/A,N/A,76,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Bumiputera Sabah / Sarawak,"RM56,320",Engineering,5,3.76,N/A,N/A,N/A,N/A,71,Eligible,Rejected
Gamuda Scholarship,UG,24,Bumiputera Sabah / Sarawak,"RM56,049",Business and Finance,11,N/A,5,N/A,N/A,N/A,62,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM24,704",Business and Finance,5,N/A,N/A,N/A,3.87,N/A,78,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Chinese,"RM39,171",Business and Finance,12,N/A,N/A,N/A,2.71,N/A,51,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Bumiputera Sabah / Sarawak,"RM15,851",Computer Science and IT,9,N/A,N/A,3.7,N/A,N/A,100,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,20,Indian,"RM75,764",Sciences,5,N/A,5,N/A,N/A,N/A,80,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM32,701",Engineering,8,N/A,N/A,3.71,N/A,N/A,75,Eligible,Accepted
Shell Malaysia Scholarship,UG,22,Malay,"RM51,184",Business and Finance,8,N/A,N/A,3.56,N/A,N/A,62,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Chinese,"RM115,067",Law and Social Sciences,5,N/A,N/A,N/A,N/A,3.59,67,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM61,377",Computer Science and IT,8,2.08,N/A,N/A,N/A,N/A,44,Not Eligible,Rejected
JPA Scholarship,PG,28,Indian,"RM72,628",Medicine and Health Care,6,N/A,N/A,N/A,N/A,3.73,82,Eligible,Accepted
JPA Scholarship,UG,18,Malay,"RM28,989",Law and Social Sciences,9,N/A,N/A,3.07,N/A,N/A,53,Not Eligible,Rejected
MARA Scholarship,PG,33,Bumiputera Sabah / Sarawak,"RM232,932",Law and Social Sciences,7,N/A,N/A,N/A,N/A,3.51,47,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,24,Bumiputera Sabah / Sarawak,"RM61,937",Medicine and Health Care,5,N/A,N/A,N/A,N/A,2.31,67,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM100,001",Engineering,11,N/A,4,N/A,N/A,N/A,71,Eligible,Rejected
MARA Scholarship,UG,33,Bumiputera Sabah / Sarawak,"RM281,794",Computer Science and IT,11,3.34,N/A,N/A,N/A,N/A,57,Not Eligible,Rejected
JPA Scholarship,UG,18,Other,"RM25,636",Business and Finance,10,3.52,N/A,N/A,N/A,N/A,74,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,41,Chinese,"RM77,544",Law and Social Sciences,10,N/A,N/A,N/A,N/A,3.52,74,Not Eligible,Rejected
MARA Scholarship,UG,27,Bumiputera Sabah / Sarawak,"RM221,720",Law and Social Sciences,10,N/A,N/A,N/A,3.75,N/A,60,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,37,Other,"RM160,502",Business and Finance,6,N/A,N/A,N/A,N/A,3.72,78,Not Eligible,Rejected
MARA Scholarship,PG,39,Bumiputera Sabah / Sarawak,"RM191,582",Computer Science and IT,7,N/A,N/A,N/A,N/A,3.39,57,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,34,Bumiputera Sabah / Sarawak,"RM142,107",Business and Finance,5,N/A,N/A,N/A,N/A,3.74,72,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,39,Bumiputera Sabah / Sarawak,"RM181,688",Business and Finance,10,N/A,N/A,N/A,N/A,3.51,62,Eligible,Accepted
Gamuda Scholarship,UG,22,Indian,"RM80,789",Law and Social Sciences,12,3.85,N/A,N/A,N/A,N/A,82,Not Eligible,Rejected
MARA Scholarship,UG,34,Malay,"RM236,584",Sciences,8,N/A,N/A,N/A,2.82,N/A,64,Eligible,Accepted
Gamuda Scholarship,UG,23,Bumiputera Sabah / Sarawak,"RM38,927",Sciences,7,N/A,N/A,N/A,3.59,N/A,41,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Indian,"RM55,730",Business and Finance,12,N/A,N/A,3.7,N/A,N/A,59,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,41,Malay,"RM70,679",Medicine and Health Care,5,N/A,N/A,N/A,N/A,3.78,29,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other,"RM89,205",Business and Finance,12,N/A,N/A,3.6,N/A,N/A,65,Eligible,Rejected
MARA Scholarship,UG,25,Other,"RM40,713",Engineering,5,N/A,N/A,3.85,N/A,N/A,70,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Other,"RM117,589",Engineering,12,N/A,N/A,3.51,N/A,N/A,85,Eligible,Rejected
JPA Scholarship,PG,38,Other,"RM41,315",Computer Science and IT,8,N/A,N/A,N/A,N/A,2.79,41,Not Eligible,Rejected
MARA Scholarship,PG,33,Malay,"RM158,481",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.23,74,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,31,Malay,"RM108,620",Business and Finance,11,N/A,N/A,N/A,N/A,2.54,51,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,20,Malay,"RM66,544",Business and Finance,8,N/A,3,N/A,N/A,N/A,68,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Other,"RM40,899",Computer Science and IT,2,N/A,N/A,N/A,3.77,N/A,32,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Chinese,"RM8,911",Law and Social Sciences,11,N/A,4,N/A,N/A,N/A,72,Eligible,Accepted
JPA Scholarship,UG,18,Chinese,"RM49,675",Law and Social Sciences,3,3.88,N/A,N/A,N/A,N/A,83,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Malay,"RM6,916",Business and Finance,8,N/A,N/A,N/A,3.63,N/A,67,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,44,Indian,"RM127,234",Engineering,9,N/A,N/A,N/A,N/A,3.77,88,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM38,105",Computer Science and IT,11,N/A,N/A,3.64,N/A,N/A,76,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,23,Indian,"RM129,466",Business and Finance,12,N/A,1,N/A,N/A,N/A,40,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Malay,"RM25,193",Sciences,10,N/A,4,N/A,N/A,N/A,69,Eligible,Rejected
JPA Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM26,937",Engineering,9,N/A,0,N/A,N/A,N/A,87,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,35,Malay,"RM108,494",Medicine and Health Care,9,N/A,N/A,N/A,N/A,3.69,64,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,27,Other,"RM22,815",Computer Science and IT,9,3.61,N/A,N/A,N/A,N/A,64,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Other,"RM29,062",Sciences,8,N/A,4,N/A,N/A,N/A,43,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM24,651",Engineering,5,N/A,N/A,3.28,N/A,N/A,58,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM41,627",Computer Science and IT,10,N/A,N/A,3.97,N/A,N/A,81,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Malay,"RM115,126",Sciences,7,N/A,N/A,3.25,N/A,N/A,45,Not Eligible,Rejected
JPA Scholarship,PG,29,Malay,"RM101,324",Business and Finance,5,N/A,N/A,N/A,N/A,3.74,59,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,28,Bumiputera Sabah / Sarawak,"RM130,788",Sciences,9,N/A,N/A,N/A,3.54,N/A,66,Not Eligible,Rejected
JPA Scholarship,PG,39,Malay,"RM60,155",Computer Science and IT,12,N/A,N/A,N/A,N/A,3.9,48,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,22,Indian,"RM11,585",Sciences,9,N/A,1,N/A,N/A,N/A,45,Not Eligible,Rejected
MARA Scholarship,UG,38,Bumiputera Sabah / Sarawak,"RM39,089",Sciences,11,N/A,N/A,N/A,2.98,N/A,42,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,25,Other,"RM74,553",Law and Social Sciences,11,N/A,N/A,N/A,2.32,N/A,35,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM41,558",Law and Social Sciences,9,N/A,3,N/A,N/A,N/A,67,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,43,Malay,"RM74,278",Computer Science and IT,12,N/A,N/A,N/A,N/A,3.56,77,Not Eligible,Rejected
JPA Scholarship,PG,28,Indian,"RM17,516",Law and Social Sciences,10,N/A,N/A,N/A,N/A,3.75,42,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Other,"RM13,424",Engineering,2,N/A,5,N/A,N/A,N/A,62,Not Eligible,Rejected
JPA Scholarship,PG,26,Other,"RM23,057",Business and Finance,5,N/A,N/A,N/A,N/A,3.75,75,Eligible,Accepted
Shell Malaysia Scholarship,UG,24,Other,"RM136,374",Engineering,12,N/A,N/A,3.34,N/A,N/A,73,Not Eligible,Rejected
MARA Scholarship,PG,31,Bumiputera Sabah / Sarawak,"RM94,310",Law and Social Sciences,12,N/A,N/A,N/A,N/A,3.81,86,Eligible,Accepted
MARA Scholarship,PG,41,Bumiputera Sabah / Sarawak,"RM33,287",Medicine and Health Care,12,N/A,N/A,N/A,N/A,3.94,54,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Indian,"RM21,947",Sciences,8,N/A,N/A,N/A,3.73,N/A,77,Eligible,Accepted
MARA Scholarship,PG,30,Bumiputera Sabah / Sarawak,"RM282,854",Sciences,6,N/A,N/A,N/A,N/A,3.68,83,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,38,Chinese,"RM70,421",Engineering,12,N/A,N/A,N/A,N/A,3.89,66,Eligible,Accepted
MARA Scholarship,UG,38,Malay,"RM262,393",Law and Social Sciences,5,N/A,N/A,3.6,N/A,N/A,40,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,20,Bumiputera Sabah / Sarawak,"RM31,754",Law and Social Sciences,10,N/A,4,N/A,N/A,N/A,65,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,23,Chinese,"RM53,023",Engineering,7,N/A,1,N/A,N/A,N/A,67,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,34,Other,"RM14,576",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.97,79,Eligible,Accepted
JPA Scholarship,UG,19,Malay,"RM93,108",Computer Science and IT,9,N/A,N/A,N/A,3.87,N/A,66,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM38,513",Sciences,11,3.63,N/A,N/A,N/A,N/A,68,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,22,Other,"RM149,035",Business and Finance,10,N/A,N/A,3.3,N/A,N/A,62,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Other,"RM189,060",Computer Science and IT,10,N/A,5,N/A,N/A,N/A,54,Eligible,Rejected
Gamuda Scholarship,UG,18,Indian,"RM105,772",Computer Science and IT,8,N/A,N/A,2.97,N/A,N/A,79,Not Eligible,Rejected
JPA Scholarship,UG,18,Other,"RM23,788",Computer Science and IT,11,3.54,N/A,N/A,N/A,N/A,63,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,20,Chinese,"RM114,321",Law and Social Sciences,12,N/A,N/A,3.74,N/A,N/A,70,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Indian,"RM61,574",Computer Science and IT,9,N/A,4,N/A,N/A,N/A,65,Eligible,Rejected
MARA Scholarship,PG,26,Bumiputera Sabah / Sarawak,"RM183,712",Engineering,9,N/A,N/A,N/A,N/A,2.15,51,Not Eligible,Rejected
MARA Scholarship,UG,25,Bumiputera Sabah / Sarawak,"RM93,936",Engineering,12,N/A,N/A,N/A,3.46,N/A,42,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM89,553",Computer Science and IT,9,N/A,2,N/A,N/A,N/A,65,Not Eligible,Rejected
MARA Scholarship,UG,40,Bumiputera Sabah / Sarawak,"RM62,621",Sciences,6,N/A,N/A,N/A,3.12,N/A,57,Eligible,Accepted
Shell Malaysia Scholarship,UG,23,Other,"RM29,070",Sciences,10,N/A,N/A,3.41,N/A,N/A,75,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Other,"RM37,194",Sciences,10,N/A,N/A,N/A,3.51,N/A,69,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM96,571",Sciences,4,N/A,N/A,3.61,N/A,N/A,63,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,37,Other,"RM36,387",Computer Science and IT,7,N/A,N/A,N/A,N/A,3.72,43,Eligible,Accepted
MARA Scholarship,PG,25,Bumiputera Sabah / Sarawak,"RM266,255",Law and Social Sciences,5,N/A,N/A,N/A,N/A,3.52,82,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,39,Bumiputera Sabah / Sarawak,"RM14,372",Law and Social Sciences,10,N/A,N/A,N/A,N/A,3.68,98,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Other,"RM49,948",Computer Science and IT,5,N/A,N/A,3.4,N/A,N/A,74,Not Eligible,Rejected
MARA Scholarship,PG,26,Bumiputera Sabah / Sarawak,"RM201,573",Law and Social Sciences,6,N/A,N/A,N/A,N/A,3.65,53,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM41,442",Engineering,9,N/A,0,N/A,N/A,N/A,53,Not Eligible,Rejected
MARA Scholarship,PG,38,Malay,"RM231,874",Law and Social Sciences,6,N/A,N/A,N/A,N/A,3.37,79,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Malay,"RM30,964",Engineering,0,N/A,N/A,3.47,N/A,N/A,72,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,40,Other,"RM24,085",Computer Science and IT,5,N/A,N/A,N/A,N/A,3.95,76,Eligible,Accepted
Gamuda Scholarship,UG,21,Indian,"RM56,027",Computer Science and IT,9,3.87,N/A,N/A,N/A,N/A,77,Not Eligible,Rejected
MARA Scholarship,PG,30,Bumiputera Sabah / Sarawak,"RM155,238",Law and Social Sciences,10,N/A,N/A,N/A,N/A,3.53,73,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,26,Indian,"RM69,261",Business and Finance,12,3.88,N/A,N/A,N/A,N/A,55,Not Eligible,Rejected
MARA Scholarship,UG,31,Malay,"RM231,393",Medicine and Health Care,9,N/A,N/A,3.85,N/A,N/A,64,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Indian,"RM24,798",Sciences,9,N/A,3,N/A,N/A,N/A,59,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM62,588",Computer Science and IT,8,3.43,N/A,N/A,N/A,N/A,70,Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Other,"RM143,863",Sciences,10,N/A,N/A,3.51,N/A,N/A,58,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM116,832",Business and Finance,8,N/A,N/A,3.95,N/A,N/A,73,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM19,461",Computer Science and IT,7,N/A,N/A,3.06,N/A,N/A,32,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,37,Bumiputera Sabah / Sarawak,"RM86,654",Business and Finance,9,N/A,N/A,N/A,N/A,3.79,70,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Other,"RM60,142",Law and Social Sciences,11,N/A,N/A,N/A,3.22,N/A,76,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,32,Malay,"RM102,970",Law and Social Sciences,8,N/A,N/A,N/A,N/A,3.53,63,Eligible,Accepted
MARA Scholarship,UG,44,Bumiputera Sabah / Sarawak,"RM44,906",Medicine and Health Care,8,3.35,N/A,N/A,N/A,N/A,76,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Other,"RM75,517",Business and Finance,9,N/A,N/A,3.42,N/A,N/A,73,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,35,Indian,"RM139,971",Computer Science and IT,6,N/A,N/A,N/A,N/A,3.86,63,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,22,Malay,"RM81,419",Business and Finance,11,3.59,N/A,N/A,N/A,N/A,51,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,28,Other,"RM15,003",Law and Social Sciences,6,N/A,N/A,N/A,N/A,2.74,69,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM50,014",Computer Science and IT,12,N/A,4,N/A,N/A,N/A,53,Eligible,Rejected
MARA Scholarship,UG,36,Bumiputera Sabah / Sarawak,"RM137,697",Business and Finance,7,N/A,N/A,2.56,N/A,N/A,62,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,22,Indian,"RM106,523",Sciences,6,N/A,N/A,3.39,N/A,N/A,59,Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Indian,"RM47,247",Engineering,11,N/A,N/A,3.09,N/A,N/A,71,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM21,460",Sciences,8,N/A,5,N/A,N/A,N/A,76,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,23,Chinese,"RM93,590",Engineering,5,2.65,N/A,N/A,N/A,N/A,42,Not Eligible,Rejected
JPA Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM12,971",Sciences,11,N/A,4,N/A,N/A,N/A,57,Eligible,Accepted
Shell Malaysia Scholarship,UG,20,Bumiputera Sabah / Sarawak,"RM98,374",Sciences,9,N/A,N/A,3.74,N/A,N/A,68,Not Eligible,Rejected
JPA Scholarship,PG,25,Chinese,"RM149,718",Engineering,11,N/A,N/A,N/A,N/A,3.93,54,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,22,Bumiputera Sabah / Sarawak,"RM50,723",Business and Finance,4,N/A,3,N/A,N/A,N/A,52,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Malay,"RM18,322",Computer Science and IT,9,N/A,N/A,N/A,3.56,N/A,72,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,22,Chinese,"RM75,585",Law and Social Sciences,12,N/A,0,N/A,N/A,N/A,60,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Other,"RM35,826",Law and Social Sciences,6,3.65,N/A,N/A,N/A,N/A,87,Eligible,Accepted
MARA Scholarship,UG,38,Chinese,"RM209,636",Business and Finance,8,N/A,N/A,N/A,3.67,N/A,53,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,25,Indian,"RM97,078",Sciences,7,3.69,N/A,N/A,N/A,N/A,75,Eligible,Accepted
JPA Scholarship,PG,43,Other,"RM71,627",Sciences,12,N/A,N/A,N/A,N/A,3.68,80,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,31,Chinese,"RM10,001",Medicine and Health Care,10,N/A,N/A,N/A,N/A,3.94,96,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM36,029",Engineering,4,N/A,N/A,3.19,N/A,N/A,55,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,24,Chinese,"RM102,709",Medicine and Health Care,12,N/A,N/A,N/A,N/A,3.93,74,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,37,Bumiputera Sabah / Sarawak,"RM3,445",Sciences,11,N/A,N/A,N/A,N/A,2.69,88,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Bumiputera Sabah / Sarawak,"RM6,183",Law and Social Sciences,10,N/A,4,N/A,N/A,N/A,51,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Malay,"RM44,293",Sciences,12,N/A,0,N/A,N/A,N/A,61,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM57,766",Computer Science and IT,10,N/A,5,N/A,N/A,N/A,32,Eligible,Accepted
MARA Scholarship,PG,30,Other,"RM190,162",Business and Finance,12,N/A,N/A,N/A,N/A,3.57,92,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM53,624",Business and Finance,11,3.88,N/A,N/A,N/A,N/A,73,Eligible,Rejected
MARA Scholarship,UG,25,Other,"RM223,950",Computer Science and IT,7,3.25,N/A,N/A,N/A,N/A,70,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,26,Other,"RM65,716",Business and Finance,11,N/A,N/A,N/A,N/A,3.87,62,Eligible,Accepted
Gamuda Scholarship,UG,18,Malay,"RM36,735",Business and Finance,12,N/A,N/A,2.36,N/A,N/A,81,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,33,Other,"RM4,526",Law and Social Sciences,12,N/A,N/A,N/A,N/A,3.71,52,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM102,602",Computer Science and IT,10,N/A,N/A,N/A,2.33,N/A,65,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM11,115",Sciences,12,N/A,N/A,3.07,N/A,N/A,76,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,29,Indian,"RM85,791",Business and Finance,7,N/A,4,N/A,N/A,N/A,73,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Other,"RM63,371",Law and Social Sciences,9,N/A,3,N/A,N/A,N/A,78,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,30,Other,"RM70,620",Sciences,10,N/A,N/A,3.53,N/A,N/A,81,Not Eligible,Rejected
MARA Scholarship,UG,37,Bumiputera Sabah / Sarawak,"RM187,231",Sciences,8,N/A,N/A,N/A,3.11,N/A,69,Eligible,Rejected
MARA Scholarship,PG,28,Bumiputera Sabah / Sarawak,"RM284,571",Business and Finance,8,N/A,N/A,N/A,N/A,3.72,91,Not Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM19,762",Computer Science and IT,11,3.59,N/A,N/A,N/A,N/A,59,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,20,Chinese,"RM35,991",Computer Science and IT,12,N/A,N/A,2.13,N/A,N/A,66,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM101,354",Sciences,8,N/A,N/A,3.56,N/A,N/A,99,Eligible,Rejected
MARA Scholarship,UG,43,Malay,"RM234,612",Computer Science and IT,11,N/A,N/A,N/A,3.74,N/A,72,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM64,933",Sciences,8,N/A,3,N/A,N/A,N/A,62,Eligible,Accepted
JPA Scholarship,UG,19,Malay,"RM101,815",Law and Social Sciences,9,3.5,N/A,N/A,N/A,N/A,66,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Malay,"RM47,248",Sciences,9,N/A,4,N/A,N/A,N/A,50,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Other,"RM50,802",Sciences,11,N/A,3,N/A,N/A,N/A,71,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other,"RM19,265",Law and Social Sciences,11,N/A,3,N/A,N/A,N/A,80,Eligible,Accepted
Shell Malaysia Scholarship,UG,22,Malay,"RM166,911",Sciences,11,N/A,N/A,3.77,N/A,N/A,72,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Malay,"RM17,935",Business and Finance,9,3.91,N/A,N/A,N/A,N/A,65,Eligible,Accepted
JPA Scholarship,PG,41,Malay,"RM32,972",Business and Finance,9,N/A,N/A,N/A,N/A,3.79,60,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM66,207",Computer Science and IT,10,N/A,N/A,3.03,N/A,N/A,73,Eligible,Accepted
JPA Scholarship,UG,21,Chinese,"RM27,969",Law and Social Sciences,9,N/A,N/A,N/A,3.79,N/A,51,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM45,266",Business and Finance,10,N/A,3,N/A,N/A,N/A,33,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM49,243",Business and Finance,1,N/A,4,N/A,N/A,N/A,70,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Chinese,"RM21,773",Law and Social Sciences,12,N/A,N/A,N/A,3.68,N/A,64,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM86,460",Engineering,4,N/A,N/A,3.42,N/A,N/A,67,Not Eligible,Rejected
JPA Scholarship,UG,19,Other,"RM43,018",Computer Science and IT,9,N/A,3,N/A,N/A,N/A,71,Eligible,Rejected
MARA Scholarship,PG,37,Malay,"RM282,821",Law and Social Sciences,11,N/A,N/A,N/A,N/A,3.4,43,Not Eligible,Rejected
JPA Scholarship,PG,25,Indian,"RM91,101",Computer Science and IT,8,N/A,N/A,N/A,N/A,3.78,52,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,22,Chinese,"RM118,153",Medicine and Health Care,8,N/A,N/A,N/A,3.52,N/A,72,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Bumiputera Sabah / Sarawak,"RM80,486",Engineering,5,N/A,N/A,3.78,N/A,N/A,72,Eligible,Accepted
JPA Scholarship,UG,18,Indian,"RM23,825",Computer Science and IT,9,N/A,2,N/A,N/A,N/A,26,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,33,Chinese,"RM17,615",Engineering,7,N/A,N/A,N/A,N/A,3.85,75,Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM37,425",Engineering,12,N/A,2,N/A,N/A,N/A,63,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Indian,"RM33,477",Sciences,10,N/A,N/A,3.35,N/A,N/A,61,Eligible,Accepted
JPA Scholarship,UG,18,Chinese,"RM75,572",Sciences,9,N/A,N/A,N/A,3.84,N/A,86,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Other,"RM117,564",Engineering,9,N/A,4,N/A,N/A,N/A,82,Eligible,Rejected
MARA Scholarship,UG,42,Bumiputera Sabah / Sarawak,"RM56,745",Medicine and Health Care,10,3.15,N/A,N/A,N/A,N/A,64,Not Eligible,Rejected
MARA Scholarship,PG,25,Malay,"RM58,104",Engineering,11,N/A,N/A,N/A,N/A,3.23,63,Eligible,Rejected
JPA Scholarship,PG,45,Chinese,"RM76,772",Computer Science and IT,9,N/A,N/A,N/A,N/A,3.81,62,Not Eligible,Rejected
JPA Scholarship,PG,35,Indian,"RM89,261",Sciences,12,N/A,N/A,N/A,N/A,3.95,46,Eligible,Rejected
