Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
JPA Scholarship,UG,19,Others,"RM42,752",Sciences,11,N/A,N/A,N/A,N/A,N/A,70,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Other Bumiputera,"RM263,709",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,48,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM81,709",Medicine and Health Care,9,N/A,N/A,N/A,N/A,N/A,53,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Other Bumiputera,"RM195,534",Law and Social Sciences,7,N/A,N/A,N/A,N/A,N/A,40,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM197,389",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,78,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM101,038",Sciences,12,N/A,N/A,N/A,N/A,N/A,62,Eligible,Rejected
JPA Scholarship,UG,21,Indian,"RM37,392",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,55,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Chinese,"RM211,806",Sciences,12,N/A,N/A,N/A,N/A,N/A,59,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM297,994",Engineering,11,N/A,N/A,N/A,N/A,N/A,58,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Others,"RM229,741",Computer Science and IT,12,N/A,N/A,N/A,N/A,N/A,41,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,20,Others,"RM159,829",Sciences,N/A,N/A,N/A,N/A,N/A,3.67,48,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM232,074",Engineering,12,N/A,N/A,N/A,N/A,N/A,57,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,20,Indian,"RM244,733",Computer Science and IT,N/A,3.14,N/A,N/A,N/A,N/A,92,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM276,148",Sciences,8,N/A,N/A,N/A,N/A,N/A,53,Eligible,Rejected
JPA Scholarship,PG,34,Chinese,"RM119,547",Engineering,N/A,N/A,N/A,N/A,N/A,3.86,47,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM281,813",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,63,Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM46,896",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,54,Eligible,Rejected
JPA Scholarship,UG,20,Chinese,"RM17,737",Sciences,11,N/A,N/A,N/A,N/A,N/A,64,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM284,109",Engineering,11,N/A,N/A,N/A,N/A,N/A,93,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Malay,"RM251,968",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,47,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,19,Other Bumiputera,"RM260,558",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,91,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,21,Indian,"RM106,585",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,85,Not Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM22,265",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,64,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM42,391",Sciences,9,N/A,N/A,N/A,N/A,N/A,42,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Malay,"RM173,082",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,92,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM194,553",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,89,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,21,Malay,"RM45,230",Computer Science and IT,N/A,N/A,3,N/A,N/A,N/A,74,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM275,941",Sciences,N/A,N/A,4,N/A,N/A,N/A,56,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,27,Chinese,"RM105,761",Law and Social Sciences,8,N/A,N/A,N/A,N/A,N/A,63,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Other Bumiputera,"RM283,186",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,83,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,30,Indian,"RM161,233",Sciences,N/A,3.71,N/A,N/A,N/A,N/A,73,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Others,"RM64,172",Law and Social Sciences,N/A,3.82,N/A,N/A,N/A,N/A,87,Eligible,Rejected
JPA Scholarship,UG,19,Others,"RM57,929",Engineering,11,N/A,N/A,N/A,N/A,N/A,80,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,23,Malay,"RM119,951",Law and Social Sciences,7,N/A,N/A,N/A,N/A,N/A,72,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM235,871",Business and Finance,6,N/A,N/A,N/A,N/A,N/A,48,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Other Bumiputera,"RM169,031",Computer Science and IT,N/A,N/A,N/A,3.92,N/A,N/A,75,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Chinese,"RM43,551",Engineering,11,N/A,N/A,N/A,N/A,N/A,52,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Other Bumiputera,"RM13,551",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,53,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Other Bumiputera,"RM112,958",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,52,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Indian,"RM217,558",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,42,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,27,Malay,"RM29,765",Engineering,N/A,N/A,N/A,N/A,N/A,3.74,72,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM275,645",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,49,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,27,Chinese,"RM168,148",Engineering,9,N/A,N/A,N/A,N/A,N/A,89,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,20,Malay,"RM125,726",Business and Finance,N/A,N/A,N/A,N/A,N/A,2.9,77,Not Eligible,Rejected
MARA Scholarship,UG,20,Malay,"RM140,979",Engineering,N/A,2.84,N/A,N/A,N/A,N/A,92,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,18,Indian,"RM73,943",Law and Social Sciences,N/A,N/A,N/A,N/A,N/A,3.83,91,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Others,"RM169,748",Sciences,10,N/A,N/A,N/A,N/A,N/A,79,Eligible,Rejected
Gamuda Scholarship,UG,20,Other Bumiputera,"RM169,601",Business and Finance,N/A,N/A,N/A,N/A,3.67,N/A,51,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Indian,"RM84,215",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,79,Eligible,Accepted
JPA Scholarship,UG,18,Malay,"RM44,712",Sciences,10,N/A,N/A,N/A,N/A,N/A,46,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM23,789",Law and Social Sciences,8,N/A,N/A,N/A,N/A,N/A,44,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM151,650",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,91,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Others,"RM242,088",Engineering,11,N/A,N/A,N/A,N/A,N/A,88,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,23,Other Bumiputera,"RM85,942",Business and Finance,N/A,N/A,5,N/A,N/A,N/A,83,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM178,275",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,69,Eligible,Rejected
JPA Scholarship,UG,18,Others,"RM56,290",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,53,Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM22,557",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,74,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Malay,"RM270,999",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,53,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM256,490",Engineering,9,N/A,N/A,N/A,N/A,N/A,86,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM185,444",Computer Science and IT,7,N/A,N/A,N/A,N/A,N/A,44,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Other Bumiputera,"RM87,601",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,85,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Malay,"RM119,606",Business and Finance,7,N/A,N/A,N/A,N/A,N/A,89,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM157,002",Business and Finance,8,N/A,N/A,N/A,N/A,N/A,71,Eligible,Rejected
JPA Scholarship,PG,37,Other Bumiputera,"RM179,382",Sciences,N/A,N/A,N/A,N/A,N/A,3.21,40,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,20,Malay,"RM88,511",Business and Finance,N/A,N/A,N/A,N/A,N/A,3.8,51,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Others,"RM253,805",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,78,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Indian,"RM287,236",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,91,Eligible,Accepted
MARA Scholarship,UG,22,Other Bumiputera,"RM179,555",Sciences,N/A,N/A,N/A,3.13,N/A,N/A,80,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Malay,"RM195,984",Computer Science and IT,12,N/A,N/A,N/A,N/A,N/A,85,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Others,"RM229,129",Sciences,11,N/A,N/A,N/A,N/A,N/A,80,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Chinese,"RM164,954",Sciences,11,N/A,N/A,N/A,N/A,N/A,61,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Other Bumiputera,"RM178,881",Sciences,9,N/A,N/A,N/A,N/A,N/A,65,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM209,440",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,45,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM79,628",Engineering,11,N/A,N/A,N/A,N/A,N/A,52,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,23,Malay,"RM124,031",Law and Social Sciences,N/A,N/A,N/A,N/A,3.41,N/A,81,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,19,Other Bumiputera,"RM92,747",Engineering,N/A,N/A,N/A,N/A,3.93,N/A,55,Eligible,Accepted
MARA Scholarship,PG,22,Malay,"RM196,722",Sciences,N/A,N/A,N/A,N/A,N/A,3.02,51,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM185,211",Law and Social Sciences,12,N/A,N/A,N/A,N/A,N/A,86,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Other Bumiputera,"RM242,801",Sciences,N/A,N/A,4,N/A,N/A,N/A,75,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM15,525",Business and Finance,7,N/A,N/A,N/A,N/A,N/A,56,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM173,946",Sciences,9,N/A,N/A,N/A,N/A,N/A,59,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM277,552",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,72,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM28,504",Sciences,10,N/A,N/A,N/A,N/A,N/A,45,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,22,Chinese,"RM52,449",Law and Social Sciences,12,N/A,N/A,N/A,N/A,N/A,80,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,22,Chinese,"RM237,165",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,95,Eligible,Accepted
JPA Scholarship,UG,18,Indian,"RM22,693",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,83,Eligible,Rejected
JPA Scholarship,PG,27,Indian,"RM119,843",Business and Finance,N/A,N/A,N/A,N/A,N/A,3.86,52,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM80,817",Engineering,11,N/A,N/A,N/A,N/A,N/A,46,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,19,Indian,"RM222,348",Computer Science and IT,7,N/A,N/A,N/A,N/A,N/A,77,Not Eligible,Rejected
JPA Scholarship,UG,21,Others,"RM18,053",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,76,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM241,275",Medicine and Health Care,6,N/A,N/A,N/A,N/A,N/A,71,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM129,397",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,63,Eligible,Rejected
JPA Scholarship,UG,19,Others,"RM25,906",Sciences,10,N/A,N/A,N/A,N/A,N/A,57,Eligible,Accepted
JPA Scholarship,UG,19,Others,"RM15,560",Sciences,10,N/A,N/A,N/A,N/A,N/A,55,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,18,Indian,"RM192,003",Medicine and Health Care,N/A,N/A,N/A,N/A,N/A,3.89,57,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,20,Malay,"RM94,094",Sciences,N/A,N/A,4,N/A,N/A,N/A,84,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Indian,"RM75,017",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,69,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Other Bumiputera,"RM64,933",Sciences,11,N/A,N/A,N/A,N/A,N/A,40,Eligible,Accepted
JPA Scholarship,UG,18,Other Bumiputera,"RM102,293",Law and Social Sciences,N/A,3.87,N/A,N/A,N/A,N/A,88,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM57,178",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,71,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Malay,"RM138,654",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,50,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,21,Malay,"RM273,723",Engineering,N/A,N/A,N/A,N/A,N/A,3.12,61,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Malay,"RM167,116",Business and Finance,8,N/A,N/A,N/A,N/A,N/A,57,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Indian,"RM156,185",Computer Science and IT,7,N/A,N/A,N/A,N/A,N/A,80,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Others,"RM54,810",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,52,Eligible,Rejected
MARA Scholarship,PG,31,Malay,"RM187,995",Medicine and Health Care,N/A,N/A,N/A,N/A,N/A,3.86,90,Eligible,Accepted
MARA Scholarship,PG,26,Other Bumiputera,"RM197,752",Sciences,N/A,N/A,N/A,N/A,N/A,3.65,89,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM53,065",Computer Science and IT,8,N/A,N/A,N/A,N/A,N/A,42,Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM21,141",Sciences,6,N/A,N/A,N/A,N/A,N/A,80,Not Eligible,Rejected
JPA Scholarship,UG,24,Others,"RM43,637",Sciences,11,N/A,N/A,N/A,N/A,N/A,91,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Chinese,"RM160,998",Engineering,7,N/A,N/A,N/A,N/A,N/A,84,Not Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM30,047",Engineering,10,N/A,N/A,N/A,N/A,N/A,90,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM33,226",Computer Science and IT,N/A,N/A,N/A,N/A,N/A,3.72,73,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Indian,"RM136,209",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,95,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Other Bumiputera,"RM100,366",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,54,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Indian,"RM76,965",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,43,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Other Bumiputera,"RM278,007",Computer Science and IT,6,N/A,N/A,N/A,N/A,N/A,77,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,21,Malay,"RM98,886",Medicine and Health Care,10,N/A,N/A,N/A,N/A,N/A,46,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,23,Indian,"RM44,707",Business and Finance,8,N/A,N/A,N/A,N/A,N/A,63,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,23,Other Bumiputera,"RM170,350",Medicine and Health Care,N/A,N/A,4,N/A,N/A,N/A,43,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Other Bumiputera,"RM248,121",Computer Science and IT,12,N/A,N/A,N/A,N/A,N/A,90,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,22,Other Bumiputera,"RM21,234",Sciences,N/A,N/A,3,N/A,N/A,N/A,59,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Indian,"RM86,347",Business and Finance,8,N/A,N/A,N/A,N/A,N/A,79,Eligible,Rejected
JPA Scholarship,UG,19,Other Bumiputera,"RM10,640",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,43,Eligible,Accepted
MARA Scholarship,PG,34,Other Bumiputera,"RM180,931",Engineering,N/A,N/A,N/A,N/A,N/A,3.31,42,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Others,"RM149,177",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,79,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Chinese,"RM175,691",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,41,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM84,325",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,56,Eligible,Accepted
MARA Scholarship,PG,22,Malay,"RM99,199",Business and Finance,N/A,N/A,N/A,N/A,N/A,3.84,76,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM133,587",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,90,Eligible,Accepted
JPA Scholarship,UG,19,Other Bumiputera,"RM56,516",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,76,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Others,"RM97,145",Law and Social Sciences,8,N/A,N/A,N/A,N/A,N/A,51,Eligible,Rejected
JPA Scholarship,UG,19,Other Bumiputera,"RM54,433",Engineering,12,N/A,N/A,N/A,N/A,N/A,79,Eligible,Accepted
Shell Malaysia Scholarship,UG,21,Others,"RM70,841",Engineering,12,N/A,N/A,N/A,N/A,N/A,45,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM273,699",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,46,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,27,Others,"RM128,125",Law and Social Sciences,8,N/A,N/A,N/A,N/A,N/A,44,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,39,Indian,"RM49,703",Engineering,N/A,N/A,N/A,N/A,N/A,3.2,72,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM138,452",Law and Social Sciences,8,N/A,N/A,N/A,N/A,N/A,85,Eligible,Accepted
JPA Scholarship,UG,24,Chinese,"RM10,037",Sciences,10,N/A,N/A,N/A,N/A,N/A,52,Not Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM61,800",Law and Social Sciences,6,N/A,N/A,N/A,N/A,N/A,58,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM106,214",Engineering,12,N/A,N/A,N/A,N/A,N/A,88,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM247,310",Medicine and Health Care,11,N/A,N/A,N/A,N/A,N/A,53,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM264,540",Engineering,12,N/A,N/A,N/A,N/A,N/A,77,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,22,Others,"RM113,600",Computer Science and IT,N/A,N/A,N/A,3.8,N/A,N/A,41,Eligible,Accepted
JPA Scholarship,UG,19,Chinese,"RM75,482",Sciences,8,N/A,N/A,N/A,N/A,N/A,79,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM69,958",Sciences,11,N/A,N/A,N/A,N/A,N/A,88,Eligible,Accepted
JPA Scholarship,UG,19,Others,"RM18,369",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,78,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Indian,"RM64,647",Engineering,9,N/A,N/A,N/A,N/A,N/A,58,Eligible,Rejected
JPA Scholarship,UG,19,Other Bumiputera,"RM25,763",Sciences,11,N/A,N/A,N/A,N/A,N/A,54,Eligible,Accepted
JPA Scholarship,UG,18,Chinese,"RM52,378",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,80,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Others,"RM195,750",Business and Finance,6,N/A,N/A,N/A,N/A,N/A,77,Not Eligible,Rejected
MARA Scholarship,UG,36,Malay,"RM127,853",Law and Social Sciences,N/A,N/A,N/A,3.01,N/A,N/A,67,Eligible,Rejected
JPA Scholarship,PG,27,Indian,"RM173,707",Computer Science and IT,N/A,N/A,N/A,N/A,N/A,3.93,74,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Other Bumiputera,"RM170,842",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,72,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Other Bumiputera,"RM64,825",Sciences,12,N/A,N/A,N/A,N/A,N/A,52,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Others,"RM266,932",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,94,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,18,Other Bumiputera,"RM51,371",Law and Social Sciences,N/A,N/A,N/A,N/A,3.32,N/A,44,Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM31,059",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,86,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Others,"RM235,446",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,85,Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Chinese,"RM25,952",Business and Finance,N/A,3.04,N/A,N/A,N/A,N/A,81,Not Eligible,Rejected
JPA Scholarship,UG,19,Others,"RM34,000",Engineering,N/A,N/A,N/A,N/A,2.86,N/A,40,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Malay,"RM140,076",Computer Science and IT,N/A,N/A,N/A,N/A,2.61,N/A,45,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,20,Other Bumiputera,"RM80,634",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,49,Eligible,Rejected
JPA Scholarship,PG,37,Malay,"RM135,735",Computer Science and IT,N/A,N/A,N/A,N/A,N/A,3.0,72,Not Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM36,094",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,83,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Indian,"RM231,746",Business and Finance,12,N/A,N/A,N/A,N/A,N/A,56,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,27,Malay,"RM38,353",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,65,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Chinese,"RM198,250",Sciences,N/A,N/A,4,N/A,N/A,N/A,82,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Others,"RM160,077",Engineering,11,N/A,N/A,N/A,N/A,N/A,75,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM63,793",Sciences,N/A,3.72,N/A,N/A,N/A,N/A,70,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Others,"RM102,889",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,75,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,36,Other Bumiputera,"RM68,711",Engineering,N/A,N/A,N/A,N/A,N/A,3.66,40,Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM59,939",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,42,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,21,Malay,"RM182,458",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,78,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Others,"RM298,132",Engineering,10,N/A,N/A,N/A,N/A,N/A,66,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Chinese,"RM186,053",Law and Social Sciences,6,N/A,N/A,N/A,N/A,N/A,76,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Others,"RM267,738",Sciences,N/A,N/A,N/A,N/A,2.24,N/A,88,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Chinese,"RM45,948",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,68,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM146,744",Sciences,11,N/A,N/A,N/A,N/A,N/A,66,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM284,637",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,59,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM153,746",Law and Social Sciences,N/A,N/A,N/A,3.81,N/A,N/A,80,Eligible,Accepted
JPA Scholarship,UG,19,Others,"RM10,700",Sciences,7,N/A,N/A,N/A,N/A,N/A,49,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Malay,"RM127,318",Sciences,8,N/A,N/A,N/A,N/A,N/A,67,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM114,566",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,46,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,22,Other Bumiputera,"RM60,231",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,51,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,20,Other Bumiputera,"RM269,593",Law and Social Sciences,N/A,N/A,N/A,N/A,3.83,N/A,42,Eligible,Accepted
